unique_subj_id,modalities
dADNI_s00472,t1w_flair
dADNI_s00473,t1w
dADNI_s00474,t1w
dADNI_s00475,t1w
dADNI_s00476,t1w
dADNI_s00477,t1w
dADNI_s00478,t1w
dADNI_s00479,t1w_flair_dti_bold
dADNI_s00480,t1w_flair_dti_bold
dADNI_s00481,t1w_flair
dADNI_s00482,t1w_flair
dADNI_s00483,t1w_flair
dADNI_s00484,t1w_flair
dADNI_s00485,t1w_flair
dADNI_s00486,t1w_flair
dADNI_s00487,t1w_flair_dti_bold
dADNI_s00488,t1w_flair
dADNI_s00489,t1w_flair
dADNI_s00490,t1w_flair_dti_bold
dADNI_s00491,t1w
dADNI_s00492,t1w
dADNI_s00493,t1w
dADNI_s00494,t1w_flair_dti_bold
dADNI_s00495,t1w
dADNI_s00496,t1w
dADNI_s00497,t1w
dADNI_s00498,t1w
dADNI_s00499,t1w
dADNI_s00500,t1w
dADNI_s00501,t1w
dADNI_s00502,t1w
dADNI_s00503,t1w
dADNI_s00504,t1w
dADNI_s00505,t1w
dADNI_s00506,t1w
dADNI_s00507,t1w
dADNI_s00508,t1w
dADNI_s00509,t1w
dADNI_s00510,t1w
dADNI_s00511,t1w
dADNI_s00512,t1w
dADNI_s00513,t1w
dADNI_s00514,t1w_flair_dti
dADNI_s00515,t1w_flair_dti_bold
dADNI_s00516,t1w_flair_dti_bold
dADNI_s00517,t1w_flair_dti
dADNI_s00518,t1w_flair_dti
dADNI_s00519,t1w_flair_dti
dADNI_s00520,t1w_flair_dti
dADNI_s00521,t1w_flair_dti
dADNI_s00522,t1w_flair_dti_bold
dADNI_s00523,t1w_flair_dti
dADNI_s00524,t1w_flair_dti_bold
dADNI_s00525,t1w_flair_dti
dADNI_s00526,t1w_flair_dti
dADNI_s00527,t1w_flair_dti
dADNI_s00528,t1w_flair_dti
dADNI_s00529,t1w_flair_dti
dADNI_s00530,t1w_flair_dti_bold
dADNI_s00531,t1w_flair_dti_bold
dADNI_s00532,t1w_flair_dti_bold
dADNI_s00533,t1w_flair_dti_bold
dADNI_s00534,t1w_flair_dti
dADNI_s00535,t1w_flair_dti_bold
dADNI_s00536,t1w_flair_dti
dADNI_s00537,t1w_flair_dti_bold
dADNI_s00538,t1w_flair_dti_bold
dADNI_s00539,t1w_flair_dti_bold
dADNI_s00540,t1w_flair_dti_bold
dADNI_s00541,t1w_flair
dADNI_s00542,t1w
dADNI_s00543,t1w
dADNI_s00544,t1w
dADNI_s00545,t1w
dADNI_s00546,t1w
dADNI_s00547,t1w
dADNI_s00548,t1w
dADNI_s00549,t1w
dADNI_s00550,t1w
dADNI_s00551,t1w
dADNI_s00552,t1w
dADNI_s00553,t1w
dADNI_s00554,t1w
dADNI_s00555,t1w
dADNI_s00556,t1w_flair_dti
dADNI_s00557,t1w_flair_dti
dADNI_s00558,t1w_flair_dti
dADNI_s00559,t1w_flair_dti
dADNI_s00560,t1w_flair_dti
dADNI_s00561,t1w_flair_dti
dADNI_s00562,t1w_flair_dti
dADNI_s00563,t1w_flair_dti
dADNI_s00564,t1w_flair_dti
dADNI_s00565,t1w_flair_dti
dADNI_s00566,t1w_flair_dti
dADNI_s00567,t1w
dADNI_s00568,t1w
dADNI_s00569,t1w
